location_base,h3_resolution,h3_index,trip_count,passenger_count
DROPOFF,6,862a1006fffffff,29,44
DROPOFF,6,862a10077ffffff,38,57
DROPOFF,6,862a10087ffffff,60,71
DROPOFF,6,862a1008fffffff,158625,264280
DROPOFF,6,862a10097ffffff,16,35
DROPOFF,6,862a1009fffffff,24,35
DROPOFF,6,862a100a7ffffff,1424,2366
DROPOFF,6,862a100afffffff,10973,18164
DROPOFF,6,862a100b7ffffff,19,24
DROPOFF,6,862a100c7ffffff,5302,8871
DROPOFF,6,862a100cfffffff,795,1289
DROPOFF,6,862a100d7ffffff,353640,587204
DROPOFF,6,862a100dfffffff,17012,28228
DROPOFF,6,862a100e7ffffff,2691,4610
DROPOFF,6,862a100efffffff,1528,2593
DROPOFF,6,862a100f7ffffff,14698,24500
DROPOFF,6,862a10107ffffff,14,26
DROPOFF,6,862a10117ffffff,20,26
DROPOFF,6,862a1011fffffff,26,40
DROPOFF,6,862a10127ffffff,10,13
DROPOFF,6,862a10137ffffff,10,17
DROPOFF,6,862a10147ffffff,5,10
DROPOFF,6,862a1014fffffff,5,8
DROPOFF,6,862a10157ffffff,3,3
DROPOFF,6,862a1015fffffff,9,14
DROPOFF,6,862a10167ffffff,1,1
DROPOFF,6,862a1016fffffff,1,1
DROPOFF,6,862a10187ffffff,13,32
DROPOFF,6,862a1018fffffff,102,149
DROPOFF,6,862a10197ffffff,1,1
DROPOFF,6,862a1019fffffff,7,9
DROPOFF,6,862a101a7ffffff,9,9
DROPOFF,6,862a101afffffff,21,32
DROPOFF,6,862a101b7ffffff,1,4
DROPOFF,6,862a10297ffffff,1,1
DROPOFF,6,862a102a7ffffff,1,1
DROPOFF,6,862a10307ffffff,1,2
DROPOFF,6,862a10317ffffff,9,13
DROPOFF,6,862a1031fffffff,3,3
DROPOFF,6,862a10327ffffff,1,1
DROPOFF,6,862a10337ffffff,12,20
DROPOFF,6,862a10387ffffff,38,65
DROPOFF,6,862a1038fffffff,2,2
DROPOFF,6,862a10397ffffff,2,2
DROPOFF,6,862a1039fffffff,31,63
DROPOFF,6,862a103a7ffffff,106,185
DROPOFF,6,862a103afffffff,10,15
DROPOFF,6,862a103b7ffffff,6826,11792
DROPOFF,6,862a10417ffffff,1,1
DROPOFF,6,862a10427ffffff,1,1
DROPOFF,6,862a1042fffffff,1,1
DROPOFF,6,862a10447ffffff,14,16
DROPOFF,6,862a1044fffffff,13,20
DROPOFF,6,862a10457ffffff,2,6
DROPOFF,6,862a1045fffffff,8,9
DROPOFF,6,862a10467ffffff,3,5
DROPOFF,6,862a1046fffffff,16,19
DROPOFF,6,862a10477ffffff,3,3
DROPOFF,6,862a1048fffffff,1,1
DROPOFF,6,862a104c7ffffff,4,4
DROPOFF,6,862a104cfffffff,2,3
DROPOFF,6,862a104d7ffffff,3,4
DROPOFF,6,862a104dfffffff,2,2
DROPOFF,6,862a104efffffff,2,2
DROPOFF,6,862a104f7ffffff,1,1
DROPOFF,6,862a1052fffffff,1,2
DROPOFF,6,862a10547ffffff,2,3
DROPOFF,6,862a1054fffffff,8,10
DROPOFF,6,862a10557ffffff,3,3
DROPOFF,6,862a1055fffffff,2,4
DROPOFF,6,862a10567ffffff,2,6
DROPOFF,6,862a1056fffffff,2,2
DROPOFF,6,862a10577ffffff,1,3
DROPOFF,6,862a10607ffffff,13,27
DROPOFF,6,862a1060fffffff,11,15
DROPOFF,6,862a1061fffffff,5,12
DROPOFF,6,862a10627ffffff,61,108
DROPOFF,6,862a1062fffffff,28,40
DROPOFF,6,862a10637ffffff,4,8
DROPOFF,6,862a10647ffffff,4,8
DROPOFF,6,862a1064fffffff,1,1
DROPOFF,6,862a10657ffffff,1,2
DROPOFF,6,862a1068fffffff,2,3
DROPOFF,6,862a10697ffffff,1,2
DROPOFF,6,862a1069fffffff,1,1
DROPOFF,6,862a106afffffff,9,10
DROPOFF,6,862a106b7ffffff,1,1
DROPOFF,6,862a106c7ffffff,1,1
DROPOFF,6,862a106e7ffffff,1,1
DROPOFF,6,862a106f7ffffff,1,1
DROPOFF,6,862a10707ffffff,47,66
DROPOFF,6,862a1070fffffff,65,113
DROPOFF,6,862a10717ffffff,51,86
DROPOFF,6,862a1071fffffff,1357,2252
DROPOFF,6,862a10727ffffff,53829,89925
DROPOFF,6,862a1072fffffff,97434,163513
DROPOFF,6,862a10737ffffff,14,17
DROPOFF,6,862a10747ffffff,858,1438
DROPOFF,6,862a1074fffffff,3,3
DROPOFF,6,862a10757ffffff,473,758
DROPOFF,6,862a1075fffffff,3,3
DROPOFF,6,862a10767ffffff,1235,2076
DROPOFF,6,862a1076fffffff,61,101
DROPOFF,6,862a10777ffffff,5343,8926
DROPOFF,6,862a10787ffffff,2,2
DROPOFF,6,862a1078fffffff,1,1
DROPOFF,6,862a10797ffffff,7,7
DROPOFF,6,862a1079fffffff,2,2
DROPOFF,6,862a107a7ffffff,6,6
DROPOFF,6,862a107afffffff,39,52
DROPOFF,6,862a107b7ffffff,2,2
DROPOFF,6,862a10817ffffff,1,1
DROPOFF,6,862a1081fffffff,1,1
DROPOFF,6,862a10887ffffff,1,1
DROPOFF,6,862a1088fffffff,9,9
DROPOFF,6,862a108afffffff,1,1
DROPOFF,6,862a108d7ffffff,1,1
DROPOFF,6,862a10957ffffff,1,2
DROPOFF,6,862a10a07ffffff,2,3
DROPOFF,6,862a10a17ffffff,1,1
DROPOFF,6,862a10a1fffffff,2,2
DROPOFF,6,862a10a27ffffff,2,2
DROPOFF,6,862a10a8fffffff,5,8
DROPOFF,6,862a10a97ffffff,12,14
DROPOFF,6,862a10a9fffffff,4,5
DROPOFF,6,862a10aa7ffffff,16,17
DROPOFF,6,862a10aafffffff,2,2
DROPOFF,6,862a10ab7ffffff,12,22
DROPOFF,6,862a10b0fffffff,4,10
DROPOFF,6,862a10b1fffffff,1,1
DROPOFF,6,862a10b77ffffff,1,3
DROPOFF,6,862a10b87ffffff,1,2
DROPOFF,6,862a10b8fffffff,1,1
DROPOFF,6,862a10b97ffffff,3,3
DROPOFF,6,862a10b9fffffff,1,1
DROPOFF,6,862a10c0fffffff,2,2
DROPOFF,6,862a10c2fffffff,1,1
DROPOFF,6,862a10c4fffffff,8,14
DROPOFF,6,862a10c57ffffff,1,1
DROPOFF,6,862a10c5fffffff,15,18
DROPOFF,6,862a10c67ffffff,1,1
DROPOFF,6,862a10c6fffffff,2,2
DROPOFF,6,862a10cb7ffffff,1,1
DROPOFF,6,862a10cc7ffffff,2,2
DROPOFF,6,862a10ccfffffff,2,4
DROPOFF,6,862a10cd7ffffff,1,1
DROPOFF,6,862a10cdfffffff,1,1
DROPOFF,6,862a10cefffffff,2,2
DROPOFF,6,862a10d2fffffff,1,1
DROPOFF,6,862a10d47ffffff,2,2
DROPOFF,6,862a10d4fffffff,1,1
DROPOFF,6,862a10d5fffffff,1,1
DROPOFF,6,862a10d77ffffff,2,2
DROPOFF,6,862a11c87ffffff,1,2
DROPOFF,6,862a1284fffffff,2,2
DROPOFF,6,862a12a0fffffff,1,1
DROPOFF,6,862a12a27ffffff,1,1
DROPOFF,6,862a12a47ffffff,2,3
DROPOFF,6,862a12a67ffffff,1,1
DROPOFF,6,862a12b47ffffff,1,1
DROPOFF,6,862a12b5fffffff,2,2
DROPOFF,6,862a12b67ffffff,1,1
DROPOFF,6,862a12b6fffffff,1,2
DROPOFF,6,862a12c87ffffff,1,1
DROPOFF,6,862a13807ffffff,1,1
DROPOFF,6,862a1391fffffff,1,2
DROPOFF,6,862a13c07ffffff,1,1
DROPOFF,6,862a13c0fffffff,1,2
DROPOFF,6,862a13c1fffffff,1,1
DROPOFF,6,862a13c37ffffff,1,1
DROPOFF,6,862a13ca7ffffff,1,2
DROPOFF,6,862a13d07ffffff,1,1
DROPOFF,6,862a13d27ffffff,2,5
DROPOFF,6,862a1420fffffff,1,1
DROPOFF,6,862a14257ffffff,1,2
DROPOFF,6,862a146afffffff,1,1
DROPOFF,6,862a146dfffffff,1,1
DROPOFF,6,862a154afffffff,1,5
DROPOFF,6,862a1562fffffff,1,1
DROPOFF,6,862a15c97ffffff,1,1
DROPOFF,6,862a1a8b7ffffff,1,1
DROPOFF,6,862a3032fffffff,1,1
DROPOFF,6,862a30c57ffffff,1,1
DROPOFF,6,862a3652fffffff,1,1
DROPOFF,6,862a8151fffffff,1,2
DROPOFF,6,862a84c07ffffff,1,1
DROPOFF,6,862a8ca67ffffff,1,1
DROPOFF,6,862aa8447ffffff,1,1
DROPOFF,6,862aa845fffffff,2,2
DROPOFF,6,862aac34fffffff,1,1
DROPOFF,6,862acc71fffffff,1,4
DROPOFF,6,862b88a17ffffff,1,1
DROPOFF,7,872a10000ffffff,8,9
DROPOFF,7,872a10002ffffff,23,29
DROPOFF,7,872a10003ffffff,8,15
DROPOFF,7,872a10006ffffff,5,9
DROPOFF,7,872a10008ffffff,2,2
DROPOFF,7,872a10009ffffff,4,5
DROPOFF,7,872a1000affffff,15,34
DROPOFF,7,872a1000bffffff,56,101
DROPOFF,7,872a1000cffffff,1,1
DROPOFF,7,872a1000dffffff,8,13
DROPOFF,7,872a10010ffffff,84,132
DROPOFF,7,872a10011ffffff,99,188
DROPOFF,7,872a10012ffffff,265,458
DROPOFF,7,872a10013ffffff,196,351
DROPOFF,7,872a10014ffffff,65,101
DROPOFF,7,872a10015ffffff,67,133
DROPOFF,7,872a10016ffffff,108,195
DROPOFF,7,872a10018ffffff,52,95
DROPOFF,7,872a10019ffffff,13,22
DROPOFF,7,872a1001affffff,122,204
DROPOFF,7,872a1001bffffff,13,25
DROPOFF,7,872a1001cffffff,85,156
DROPOFF,7,872a1001dffffff,38,53
DROPOFF,7,872a1001effffff,246,416
DROPOFF,7,872a10026ffffff,1,1
DROPOFF,7,872a10028ffffff,1,1
DROPOFF,7,872a10029ffffff,2,2
DROPOFF,7,872a1002bffffff,1,1
DROPOFF,7,872a1002cffffff,1,1
DROPOFF,7,872a1002dffffff,1,1
DROPOFF,7,872a10030ffffff,7,9
DROPOFF,7,872a10031ffffff,4,4
DROPOFF,7,872a10032ffffff,4,4
DROPOFF,7,872a10033ffffff,5,14
DROPOFF,7,872a10034ffffff,6,12
DROPOFF,7,872a10035ffffff,10,12
DROPOFF,7,872a10036ffffff,6,10
DROPOFF,7,872a10040ffffff,5,8
DROPOFF,7,872a10041ffffff,4,4
DROPOFF,7,872a10042ffffff,22,40
DROPOFF,7,872a10043ffffff,6,11
DROPOFF,7,872a10044ffffff,8,12
DROPOFF,7,872a10045ffffff,12,26
DROPOFF,7,872a10046ffffff,9,18
DROPOFF,7,872a10048ffffff,5,5
DROPOFF,7,872a10049ffffff,5,7
DROPOFF,7,872a1004affffff,10,20
DROPOFF,7,872a1004bffffff,7,10
DROPOFF,7,872a1004cffffff,3,6
DROPOFF,7,872a1004dffffff,4,4
DROPOFF,7,872a1004effffff,3,4
DROPOFF,7,872a10050ffffff,41,66
DROPOFF,7,872a10051ffffff,52,109
DROPOFF,7,872a10052ffffff,68,115
DROPOFF,7,872a10053ffffff,47,68
DROPOFF,7,872a10054ffffff,47,76
DROPOFF,7,872a10055ffffff,44,79
DROPOFF,7,872a10056ffffff,65,104
DROPOFF,7,872a10058ffffff,47,74
DROPOFF,7,872a10059ffffff,20,48
DROPOFF,7,872a1005affffff,48,68
DROPOFF,7,872a1005bffffff,52,83
DROPOFF,7,872a1005cffffff,11,17
DROPOFF,7,872a1005dffffff,12,17
DROPOFF,7,872a1005effffff,82,124
DROPOFF,7,872a10061ffffff,6,11
DROPOFF,7,872a10062ffffff,2,2
DROPOFF,7,872a10063ffffff,2,2
DROPOFF,7,872a10066ffffff,1,4
DROPOFF,7,872a10068ffffff,2,3
DROPOFF,7,872a1006affffff,7,8
DROPOFF,7,872a1006bffffff,3,7
DROPOFF,7,872a1006cffffff,7,9
DROPOFF,7,872a1006dffffff,3,6
DROPOFF,7,872a1006effffff,7,11
DROPOFF,7,872a10070ffffff,2,2
DROPOFF,7,872a10071ffffff,4,4
DROPOFF,7,872a10072ffffff,17,30
DROPOFF,7,872a10073ffffff,7,16
DROPOFF,7,872a10074ffffff,1,1
DROPOFF,7,872a10075ffffff,2,4
DROPOFF,7,872a10076ffffff,6,6
DROPOFF,7,872a10080ffffff,3,6
DROPOFF,7,872a10081ffffff,4,3
DROPOFF,7,872a10082ffffff,6,7
DROPOFF,7,872a10083ffffff,2,2
DROPOFF,7,872a10084ffffff,12,15
DROPOFF,7,872a10085ffffff,24,29
DROPOFF,7,872a10086ffffff,8,8
DROPOFF,7,872a10088ffffff,26595,44391
DROPOFF,7,872a10089ffffff,79087,131313
DROPOFF,7,872a1008affffff,9,13
DROPOFF,7,872a1008bffffff,40507,67528
DROPOFF,7,872a1008cffffff,8216,13866
DROPOFF,7,872a1008dffffff,14662,24294
DROPOFF,7,872a1008effffff,9,10
DROPOFF,7,872a10090ffffff,3,4
DROPOFF,7,872a10093ffffff,3,12
DROPOFF,7,872a10094ffffff,4,8
DROPOFF,7,872a10095ffffff,1,1
DROPOFF,7,872a10096ffffff,2,3
DROPOFF,7,872a10099ffffff,8,13
DROPOFF,7,872a1009affffff,5,8
DROPOFF,7,872a1009bffffff,8,9
DROPOFF,7,872a1009effffff,3,9
DROPOFF,7,872a100a0ffffff,9,14
DROPOFF,7,872a100a1ffffff,983,1602
DROPOFF,7,872a100a2ffffff,3,4
DROPOFF,7,872a100a3ffffff,1,1
DROPOFF,7,872a100a4ffffff,43,78
DROPOFF,7,872a100a5ffffff,396,694
DROPOFF,7,872a100a6ffffff,2,2
DROPOFF,7,872a100a8ffffff,714,1169
DROPOFF,7,872a100a9ffffff,384,627
DROPOFF,7,872a100aaffffff,3910,6513
DROPOFF,7,872a100abffffff,2882,4703
DROPOFF,7,872a100acffffff,389,617
DROPOFF,7,872a100adffffff,236,443
DROPOFF,7,872a100aeffffff,2284,3727
DROPOFF,7,872a100b0ffffff,2,3
DROPOFF,7,872a100b1ffffff,2,2
DROPOFF,7,872a100b2ffffff,2,2
DROPOFF,7,872a100b3ffffff,6,9
DROPOFF,7,872a100b4ffffff,4,4
DROPOFF,7,872a100b5ffffff,1,1
DROPOFF,7,872a100b6ffffff,1,2
DROPOFF,7,872a100c0ffffff,421,706
DROPOFF,7,872a100c1ffffff,144,215
DROPOFF,7,872a100c2ffffff,224,375
DROPOFF,7,872a100c3ffffff,495,885
DROPOFF,7,872a100c4ffffff,978,1612
DROPOFF,7,872a100c5ffffff,1014,1639
DROPOFF,7,872a100c6ffffff,1778,2976
DROPOFF,7,872a100c8ffffff,104,164
DROPOFF,7,872a100c9ffffff,33,52
DROPOFF,7,872a100caffffff,182,305
DROPOFF,7,872a100cbffffff,69,111
DROPOFF,7,872a100ccffffff,218,349
DROPOFF,7,872a100cdffffff,114,198
DROPOFF,7,872a100ceffffff,88,155
DROPOFF,7,872a100d0ffffff,3850,6381
DROPOFF,7,872a100d1ffffff,3251,5390
DROPOFF,7,872a100d2ffffff,131493,218149
DROPOFF,7,872a100d3ffffff,17483,29132
DROPOFF,7,872a100d4ffffff,13904,22708
DROPOFF,7,872a100d5ffffff,2519,4179
DROPOFF,7,872a100d6ffffff,152131,252650
DROPOFF,7,872a100d8ffffff,2259,3758
DROPOFF,7,872a100d9ffffff,639,1050
DROPOFF,7,872a100daffffff,5226,8667
DROPOFF,7,872a100dbffffff,2137,3549
DROPOFF,7,872a100dcffffff,1853,3036
DROPOFF,7,872a100ddffffff,939,1597
DROPOFF,7,872a100deffffff,4556,7603
DROPOFF,7,872a100e0ffffff,363,655
DROPOFF,7,872a100e1ffffff,88,169
DROPOFF,7,872a100e2ffffff,3927,6512
DROPOFF,7,872a100e3ffffff,108,197
DROPOFF,7,872a100e4ffffff,74,127
DROPOFF,7,872a100e5ffffff,74,128
DROPOFF,7,872a100e6ffffff,85,142
DROPOFF,7,872a100e8ffffff,337,560
DROPOFF,7,872a100e9ffffff,75,123
DROPOFF,7,872a100eaffffff,434,723
DROPOFF,7,872a100ebffffff,196,359
DROPOFF,7,872a100ecffffff,116,211
DROPOFF,7,872a100edffffff,95,149
DROPOFF,7,872a100eeffffff,174,298
DROPOFF,7,872a100f0ffffff,866,1497
DROPOFF,7,872a100f1ffffff,1205,1991
DROPOFF,7,872a100f2ffffff,2439,4018
DROPOFF,7,872a100f3ffffff,4246,7089
DROPOFF,7,872a100f4ffffff,15,21
DROPOFF,7,872a100f5ffffff,4907,8184
DROPOFF,7,872a100f6ffffff,319,568
DROPOFF,7,872a10100ffffff,8,16
DROPOFF,7,872a10103ffffff,1,1
DROPOFF,7,872a10104ffffff,1,1
DROPOFF,7,872a10106ffffff,4,8
DROPOFF,7,872a10111ffffff,1,1
DROPOFF,7,872a10112ffffff,4,6
DROPOFF,7,872a10113ffffff,1,1
DROPOFF,7,872a10116ffffff,8,12
DROPOFF,7,872a10118ffffff,2,3
DROPOFF,7,872a10119ffffff,1,1
DROPOFF,7,872a1011affffff,5,5
DROPOFF,7,872a1011bffffff,12,22
DROPOFF,7,872a1011cffffff,5,8
DROPOFF,7,872a1011dffffff,1,1
DROPOFF,7,872a10120ffffff,5,5
DROPOFF,7,872a10122ffffff,2,2
DROPOFF,7,872a10124ffffff,1,3
DROPOFF,7,872a10125ffffff,1,1
DROPOFF,7,872a10126ffffff,1,2
DROPOFF,7,872a10130ffffff,5,11
DROPOFF,7,872a10133ffffff,8,8
DROPOFF,7,872a10136ffffff,2,3
DROPOFF,7,872a10142ffffff,3,8
DROPOFF,7,872a10143ffffff,2,2
DROPOFF,7,872a1014bffffff,2,2
DROPOFF,7,872a1014cffffff,1,4
DROPOFF,7,872a1014dffffff,1,1
DROPOFF,7,872a1014effffff,1,1
DROPOFF,7,872a10151ffffff,1,1
DROPOFF,7,872a10155ffffff,2,2
DROPOFF,7,872a10158ffffff,2,2
DROPOFF,7,872a1015bffffff,3,7
DROPOFF,7,872a1015cffffff,2,3
DROPOFF,7,872a1015dffffff,2,2
DROPOFF,7,872a10162ffffff,1,1
DROPOFF,7,872a1016bffffff,1,1
DROPOFF,7,872a10180ffffff,1,1
DROPOFF,7,872a10181ffffff,9,23
DROPOFF,7,872a10184ffffff,2,5
DROPOFF,7,872a10185ffffff,1,3
DROPOFF,7,872a10188ffffff,7,16
DROPOFF,7,872a10189ffffff,32,44
DROPOFF,7,872a1018affffff,11,19
DROPOFF,7,872a1018bffffff,39,63
DROPOFF,7,872a1018dffffff,15,25
DROPOFF,7,872a1018effffff,7,7
DROPOFF,7,872a10196ffffff,1,1
DROPOFF,7,872a10198ffffff,3,4
DROPOFF,7,872a1019bffffff,6,7
DROPOFF,7,872a101a0ffffff,3,3
DROPOFF,7,872a101a1ffffff,2,2
DROPOFF,7,872a101a2ffffff,3,3
DROPOFF,7,872a101a4ffffff,2,6
DROPOFF,7,872a101a8ffffff,1,1
DROPOFF,7,872a101a9ffffff,3,3
DROPOFF,7,872a101abffffff,19,33
DROPOFF,7,872a101acffffff,3,5
DROPOFF,7,872a101adffffff,1,1
DROPOFF,7,872a101aeffffff,1,1
DROPOFF,7,872a101b3ffffff,1,4
DROPOFF,7,872a10290ffffff,1,1
DROPOFF,7,872a102a0ffffff,1,1
DROPOFF,7,872a10303ffffff,1,2
DROPOFF,7,872a10310ffffff,1,1
DROPOFF,7,872a10312ffffff,1,1
DROPOFF,7,872a10313ffffff,1,2
DROPOFF,7,872a10314ffffff,3,4
DROPOFF,7,872a10316ffffff,3,5
DROPOFF,7,872a1031effffff,2,2
DROPOFF,7,872a10326ffffff,2,2
DROPOFF,7,872a10330ffffff,1,2
DROPOFF,7,872a10332ffffff,3,7
DROPOFF,7,872a10333ffffff,1,1
DROPOFF,7,872a10335ffffff,5,5
DROPOFF,7,872a10380ffffff,7,11
DROPOFF,7,872a10382ffffff,8,13
DROPOFF,7,872a10383ffffff,2,2
DROPOFF,7,872a10384ffffff,1,1
DROPOFF,7,872a10385ffffff,16,34
DROPOFF,7,872a10386ffffff,1,1
DROPOFF,7,872a10389ffffff,1,1
DROPOFF,7,872a1038cffffff,1,1
DROPOFF,7,872a10391ffffff,1,1
DROPOFF,7,872a10395ffffff,1,1
DROPOFF,7,872a1039cffffff,10,24
DROPOFF,7,872a1039effffff,20,36
DROPOFF,7,872a103a0ffffff,19,27
DROPOFF,7,872a103a1ffffff,1,1
DROPOFF,7,872a103a2ffffff,19,28
DROPOFF,7,872a103a3ffffff,19,37
DROPOFF,7,872a103a4ffffff,8,19
DROPOFF,7,872a103a5ffffff,3,4
DROPOFF,7,872a103a6ffffff,38,57
DROPOFF,7,872a103a8ffffff,4,7
DROPOFF,7,872a103adffffff,6,8
DROPOFF,7,872a103aeffffff,2,3
DROPOFF,7,872a103b0ffffff,3975,6904
DROPOFF,7,872a103b1ffffff,2051,3607
DROPOFF,7,872a103b2ffffff,122,181
DROPOFF,7,872a103b3ffffff,78,121
DROPOFF,7,872a103b4ffffff,165,270
DROPOFF,7,872a103b5ffffff,30,37
DROPOFF,7,872a103b6ffffff,412,689
DROPOFF,7,872a10413ffffff,1,1
DROPOFF,7,872a1041bffffff,1,1
DROPOFF,7,872a10423ffffff,1,1
DROPOFF,7,872a10428ffffff,1,1
DROPOFF,7,872a10440ffffff,2,2
DROPOFF,7,872a10441ffffff,2,2
DROPOFF,7,872a10443ffffff,6,8
DROPOFF,7,872a10444ffffff,2,2
DROPOFF,7,872a10445ffffff,2,3
DROPOFF,7,872a10448ffffff,3,4
DROPOFF,7,872a10449ffffff,2,2
DROPOFF,7,872a1044affffff,2,4
DROPOFF,7,872a1044dffffff,1,1
DROPOFF,7,872a1044effffff,6,10
DROPOFF,7,872a10454ffffff,1,2
DROPOFF,7,872a10455ffffff,1,4
DROPOFF,7,872a10458ffffff,4,4
DROPOFF,7,872a10459ffffff,2,3
DROPOFF,7,872a1045cffffff,1,1
DROPOFF,7,872a1045dffffff,1,1
DROPOFF,7,872a1045effffff,1,1
DROPOFF,7,872a10464ffffff,2,4
DROPOFF,7,872a10466ffffff,1,1
DROPOFF,7,872a10468ffffff,1,3
DROPOFF,7,872a10469ffffff,2,2
DROPOFF,7,872a1046affffff,3,3
DROPOFF,7,872a1046bffffff,1,1
DROPOFF,7,872a1046cffffff,3,3
DROPOFF,7,872a1046dffffff,3,3
DROPOFF,7,872a1046effffff,2,2
DROPOFF,7,872a10470ffffff,1,1
DROPOFF,7,872a10471ffffff,1,1
DROPOFF,7,872a10474ffffff,1,1
DROPOFF,7,872a1048bffffff,1,1
DROPOFF,7,872a104c1ffffff,2,2
DROPOFF,7,872a104c2ffffff,2,2
DROPOFF,7,872a104c6ffffff,1,1
DROPOFF,7,872a104c8ffffff,1,1
DROPOFF,7,872a104d1ffffff,2,3
DROPOFF,7,872a104d8ffffff,1,1
DROPOFF,7,872a104d9ffffff,1,1
DROPOFF,7,872a104ebffffff,2,2
DROPOFF,7,872a10529ffffff,1,2
DROPOFF,7,872a10543ffffff,2,3
DROPOFF,7,872a10548ffffff,5,6
DROPOFF,7,872a1054affffff,1,1
DROPOFF,7,872a1054cffffff,1,1
DROPOFF,7,872a1054dffffff,1,2
DROPOFF,7,872a10551ffffff,2,2
DROPOFF,7,872a10556ffffff,1,1
DROPOFF,7,872a10559ffffff,1,1
DROPOFF,7,872a1055effffff,1,3
DROPOFF,7,872a10563ffffff,1,5
DROPOFF,7,872a10564ffffff,1,1
DROPOFF,7,872a1056cffffff,1,1
DROPOFF,7,872a1056dffffff,1,1
DROPOFF,7,872a10574ffffff,1,3
DROPOFF,7,872a10601ffffff,2,2
DROPOFF,7,872a10602ffffff,1,1
DROPOFF,7,872a10604ffffff,5,12
DROPOFF,7,872a10605ffffff,7,13
DROPOFF,7,872a1060affffff,1,1
DROPOFF,7,872a1060cffffff,4,5
DROPOFF,7,872a1060dffffff,2,4
DROPOFF,7,872a1060effffff,2,3
DROPOFF,7,872a10619ffffff,1,1
DROPOFF,7,872a1061affffff,2,5
DROPOFF,7,872a1061cffffff,1,6
DROPOFF,7,872a1061dffffff,2,6
DROPOFF,7,872a10620ffffff,10,19
DROPOFF,7,872a10621ffffff,10,17
DROPOFF,7,872a10622ffffff,9,20
DROPOFF,7,872a10623ffffff,5,5
DROPOFF,7,872a10624ffffff,7,7
